kappa_p,alpha_p,excess,f(p),Q(f(p)),identity_p
w**w**92,w**(w**2*7) + w**w,0,490,"[49, 5]",$\left[\omega^{\omega^{92}}\right]^{491}=\omega^{\omega^{2}\cdot7}+\omega^{\omega}$
w**w**93,w**w**21 + 1,1,166,[83],$\left[\omega^{\omega^{93}}\right]^{499}=\omega^{\omega^{21}}+1$
w**w**94,w**w**52 + 1,1,251,[251],$\left[\omega^{\omega^{94}}\right]^{503}=\omega^{\omega^{52}}+1$
w**w**95,w**w**29 + 4,0,508,"[127, 4]",$\left[\omega^{\omega^{95}}\right]^{509}=\omega^{\omega^{29}}+4$
w**w**96,w**w**4 + w**w,0,260,"[13, 5]",$\left[\omega^{\omega^{96}}\right]^{521}=\omega^{\omega^{4}}+\omega^{\omega}$
w**w**97,w**w**8 + w**3,0,522,"[29, 9]",$\left[\omega^{\omega^{97}}\right]^{523}=\omega^{\omega^{8}}+\omega^{3}$
w**w**98,w**w + w**9,0,540,"[5, 27]",$\left[\omega^{\omega^{98}}\right]^{541}=\omega^{\omega}+\omega^{9}$
w**w**99,w**w**4 + w**w**2,0,546,"[13, 7]",$\left[\omega^{\omega^{99}}\right]^{547}=\omega^{\omega^{4}}+\omega^{\omega^{2}}$
w**w**100,w**w**32 + 1,1,556,[139],$\left[\omega^{\omega^{100}}\right]^{557}=\omega^{\omega^{32}}+1$
w**w**101,w**w**58 + 1,1,562,[281],$\left[\omega^{\omega^{101}}\right]^{563}=\omega^{\omega^{58}}+1$
w**w**102,w**w**18 + 1,1,284,[71],$\left[\omega^{\omega^{102}}\right]^{569}=\omega^{\omega^{18}}+1$
w**w**103,w**w**6 + 1,1,114,[19],$\left[\omega^{\omega^{103}}\right]^{571}=\omega^{\omega^{6}}+1$
w**w**104,w**3 + 256,0,144,"[9, 16]",$\left[\omega^{\omega^{104}}\right]^{577}=\omega^{3}+256$
